timestamp,elapsed_s,power_w,cpu_temp_c,p_core_max_mhz,p_core_avg_mhz,e_core_max_mhz,e_core_avg_mhz,gpu_act_mhz,gpu_cur_mhz,gpu_throttle_reasons,th_pl1,th_pl2,th_thermal,th_prochot
1787564070.3668058,2752.626,0.0,85,4441,1578.1,3303,1843.8,1300,1300,none,0,0,0,0
1787564070.6181107,2752.877,0.0,85,4341,2321.0,3021,1029.2,1300,1300,none,0,0,0,0
1787564070.86949,2753.129,0.0,85,4500,1937.5,2389,934.6,1300,1300,none,0,0,0,0
1787564071.1207914,2753.38,0.0,84,4500,1598.0,2398,1003.0,1300,1300,none,0,0,0,0
1787564071.3717391,2753.631,0.0,85,4200,3092.9,3308,2069.8,1300,1300,none,0,0,0,0
1787564071.6227572,2753.882,0.0,88,4370,2301.5,3300,762.5,1300,1300,none,0,0,0,0
1787564071.873596,2754.133,0.0,80,4500,3603.1,1722,565.2,1300,1300,none,0,0,0,0
1787564072.1248899,2754.384,0.0,83,4382,1848.8,1362,520.2,1300,1300,none,0,0,0,0
1787564072.376026,2754.635,0.0,84,4500,3915.5,3287,2504.8,1300,1300,none,0,0,0,0
1787564072.6273627,2754.886,0.0,83,4361,3627.0,3297,2048.1,1300,1300,none,0,0,0,0
1787564072.8784592,2755.138,0.0,85,4499,3800.9,2914,2445.6,1300,1300,none,0,0,0,0
1787564073.130641,2755.389,0.0,93,4106,3616.4,3122,3038.6,1300,1300,none,0,0,0,0
1787564073.3827536,2755.641,0.0,88,4158,3354.9,3082,2839.8,1300,1300,none,0,0,0,0
1787564073.6339388,2755.893,0.0,85,4488,2190.5,3283,2368.4,1300,1300,none,0,0,0,0
1787564073.885126,2756.144,0.0,81,4500,2676.5,3306,3132.8,1300,1300,none,0,0,0,0
1787564074.1365635,2756.396,0.0,85,4500,2699.9,3293,2216.8,1300,1300,none,0,0,0,0
1787564074.3878257,2756.647,0.0,87,4500,1809.8,3300,1593.6,1300,1300,none,0,0,0,0
1787564074.6389847,2756.898,0.0,90,4500,1428.8,3296,990.8,1300,1300,none,0,0,0,0
1787564074.8902218,2757.15,0.0,85,4499,1812.1,2502,740.2,1300,1300,none,0,0,0,0
1787564075.1414666,2757.401,0.0,87,4500,1906.6,1127,490.9,1300,1300,none,0,0,0,0
1787564075.392404,2757.652,0.0,85,4437,2236.5,1838,595.1,1300,1300,none,0,0,0,0
1787564075.643555,2757.903,0.0,84,4486,1820.6,2753,694.1,1300,1300,none,0,0,0,0
1787564075.894718,2758.154,0.0,85,4500,1152.6,3299,807.1,1300,1300,none,0,0,0,0
1787564076.146033,2758.405,0.0,85,4500,1721.6,2196,652.8,1300,1300,none,0,0,0,0
1787564076.397209,2758.657,0.0,85,4500,2174.1,3299,1138.0,1300,1300,none,0,0,0,0
1787564076.6484277,2758.908,0.0,91,4500,1655.2,3301,958.6,1300,1300,none,0,0,0,0
1787564076.8995202,2759.159,0.0,85,4496,1757.8,2012,763.0,1300,1300,none,0,0,0,0
1787564077.1507416,2759.41,0.0,85,4500,1607.6,3299,1177.4,1300,1300,none,0,0,0,0
1787564077.4020152,2759.661,0.0,88,4500,2068.8,3311,1255.5,1300,1300,none,0,0,0,0
1787564077.6532836,2759.913,0.0,85,4500,1352.5,1925,590.5,1300,1300,none,0,0,0,0
1787564077.9045167,2760.164,0.0,85,4500,1572.6,3311,819.4,1300,1300,none,0,0,0,0
1787564078.1558497,2760.415,0.0,85,4500,1165.5,3068,769.0,1300,1300,none,0,0,0,0
1787564078.4070597,2760.666,0.0,85,4500,3723.0,3103,2071.4,1300,1300,none,0,0,0,0
1787564078.6582582,2760.918,0.0,85,4500,1480.6,881,507.5,1300,1300,none,0,0,0,0
1787564078.9096024,2761.169,0.0,87,4500,1470.1,2356,892.1,1300,1300,none,0,0,0,0
1787564079.160863,2761.42,0.0,87,4440,1106.6,400,400.0,1300,1300,none,0,0,0,0
1787564079.4120374,2761.671,0.0,91,4499,1324.6,2243,835.0,1300,1300,none,0,0,0,0
1787564079.663373,2761.923,0.0,85,4500,1346.2,2356,761.9,1300,1300,none,0,0,0,0
1787564079.9146962,2762.174,0.0,87,4485,1733.1,400,400.0,1300,1300,none,0,0,0,0
1787564080.1661153,2762.425,0.0,92,4500,2143.1,3299,1181.4,1300,1300,none,0,0,0,0
1787564080.4173038,2762.677,0.0,85,4422,1843.2,3300,920.8,1300,1300,none,0,0,0,0
1787564080.6685247,2762.928,0.0,85,4474,1926.4,2448,1094.6,1300,1300,none,0,0,0,0
1787564080.9197383,2763.179,0.0,91,4454,1453.4,3300,1051.9,1300,1300,none,0,0,0,0
1787564081.171142,2763.43,0.0,89,4499,1552.6,400,400.0,1300,1300,none,0,0,0,0
1787564081.422558,2763.682,0.0,91,4499,1420.0,400,399.9,1300,1300,none,0,0,0,0
1787564081.6739044,2763.933,0.0,87,4500,1801.6,2745,721.4,1300,1300,none,0,0,0,0
1787564081.9251015,2764.184,0.0,87,4500,1846.1,2476,659.4,1300,1300,none,0,0,0,0
1787564082.1762204,2764.436,0.0,92,4297,1988.0,883,460.4,1300,1300,none,0,0,0,0
1787564082.427451,2764.687,0.0,88,4500,1950.5,1609,585.2,1300,1300,none,0,0,0,0
1787564082.6786199,2764.938,0.0,88,4500,1905.4,1295,511.9,1300,1300,none,0,0,0,0
1787564082.9298613,2765.189,0.0,90,4200,2658.1,3294,1658.9,1300,1300,none,0,0,0,0
1787564083.1810532,2765.44,0.0,84,4500,1575.9,1339,517.4,1300,1300,none,0,0,0,0
1787564083.4322205,2765.692,0.0,87,4448,1806.4,3307,818.0,1300,1300,none,0,0,0,0
1787564083.6834924,2765.943,0.0,85,4467,1516.2,2663,983.4,1300,1300,none,0,0,0,0
1787564083.9347255,2766.194,0.0,85,4500,1356.5,2856,804.1,1300,1300,none,0,0,0,0
1787564084.1859624,2766.445,0.0,92,4500,1698.6,3292,989.9,1300,1300,none,0,0,0,0
1787564084.4371657,2766.697,0.0,87,4500,1606.6,2700,1132.6,1300,1300,none,0,0,0,0
1787564084.6883297,2766.948,0.0,87,4500,1602.1,2091,626.2,1300,1300,none,0,0,0,0
1787564084.9397879,2767.199,0.0,85,4444,1890.4,1936,625.8,1300,1300,none,0,0,0,0
